District,Constituency,Polling Station,Total,Male,Female,PDF Link
ROHTAK,60-MEHAM,NINDANA,9101,5060,4041,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600050.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600051.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600052.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600053.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600054.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600055.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600056.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600057.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600058.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600059.PDF"
ROHTAK,60-MEHAM,FARMANA BADSHAHPUR,1353,764,589,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600019.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600020.PDF"
ROHTAK,60-MEHAM,KHERI MEHAM,1592,859,733,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600090.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600091.PDF"
ROHTAK,60-MEHAM,MOKHRA KHERI ROJH,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600172.PDF
ROHTAK,60-MEHAM,FARMANA KHAS,7616,4261,3355,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600010.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600011.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600012.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600013.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600014.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600015.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600016.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600017.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600018.PDF"
ROHTAK,60-MEHAM,KHARENTI,4316,2380,1936,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600040.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600041.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600042.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600043.PDF"
ROHTAK,60-MEHAM,LAKHAN MAJRA,6935,3697,3238,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600026.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600027.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600028.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600029.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600030.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600031.PDF"
ROHTAK,60-MEHAM,SUNDERPUR,2744,1512,1232,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600199.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600200.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600201.PDF"
ROHTAK,60-MEHAM,GADDI KHERI,2971,1645,1326,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600202.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600203.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600204.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600205.PDF"
ROHTAK,60-MEHAM,BEDWA,815,438,377,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600008.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600009.PDF"
