District,Constituency,Polling Station,Total,Male,Female,PDF Link
JIND,34-JULANA,GOBINDPURA,1226,665,561,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340022.PDF
JIND,34-JULANA,KINANA,3012,1616,1396,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340064.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340065.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340066.PDF"
JIND,34-JULANA,GUNKALI,1600,875,725,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340002.PDF"
JIND,34-JULANA,MALVI,3812,2108,1704,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340170.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340171.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340172.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340173.PDF"
JIND,34-JULANA,RAMRAI,4011,2197,1814,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340006.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340007.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340008.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340009.PDF"
JIND,34-JULANA,BRARKHERA,1842,1028,814,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340080.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340081.PDF"
JIND,34-JULANA,IGRAH,2125,1144,981,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340074.PDF"
JIND,34-JULANA,SINDHVI KHERA,1984,1074,910,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340033.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340034.PDF"
JIND,34-JULANA,ANUPGARH,1606,865,741,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340062.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340063.PDF"
JIND,34-JULANA,KISHANPURA,1057,570,487,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340025.PDF
JIND,34-JULANA,GHIMANA,2944,1594,1350,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340019.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340020.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340021.PDF"
