District,Constituency,Polling Station,Total,Male,Female,PDF Link
BHIWANI,54-LOHARU,MOTIPURA  MAJRA JHUMPA KALAN,385,205,180,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540057.PDF
BHIWANI,54-LOHARU,GRAM LOHARU,1029,550,479,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540196.PDF
BHIWANI,54-LOHARU,FARTIYA KEHAR,1208,668,540,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540203.PDF
BHIWANI,54-LOHARU,BUDHSHAILI,1554,850,704,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540044.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540045.PDF"
BHIWANI,54-LOHARU,BARDU CHAINA,1208,647,561,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540135.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540136.PDF"
BHIWANI,54-LOHARU,SURPURA KHURD,1369,721,648,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540090.PDF
BHIWANI,54-LOHARU,JHUMPA KALAN,1854,965,889,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540173.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540174.PDF"
BHIWANI,54-LOHARU,GOPALWAS,1571,848,723,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540086.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540087.PDF"
BHIWANI,54-LOHARU,SIDHANWA,1748,928,820,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540081.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540082.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540083.PDF"
BHIWANI,54-LOHARU,KALOD,2026,1104,922,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540065.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540066.PDF"
BHIWANI,54-LOHARU,BARDU JOGI,560,316,244,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540132.PDF
BHIWANI,54-LOHARU,BADWA,7419,3969,3450,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540004.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540005.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540006.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540007.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540008.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540009.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540010.PDF"
BHIWANI,54-LOHARU,DHANI RAMJAS,555,279,276,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540012.PDF
BHIWANI,54-LOHARU,RAHIMPUR,600,316,284,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540206.PDF
BHIWANI,54-LOHARU,BARDU MUGAL,531,273,258,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540133.PDF
BHIWANI,54-LOHARU,GAINDAWAS,1594,857,737,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540039.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540040.PDF"
BHIWANI,54-LOHARU,BAHAL,7187,3839,3348,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540114.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540115.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540116.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540117.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540118.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540119.PDF"
BHIWANI,54-LOHARU,MOHILA,776,417,359,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540046.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540048.PDF"
BHIWANI,54-LOHARU,DHANITODA,720,372,348,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540185.PDF
BHIWANI,54-LOHARU,CHAHAR KHURD,1885,972,913,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540125.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540126.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540127.PDF"
