District,Constituency,Polling Station,Total,Male,Female,PDF Link
SIRSA,42-KALAWALI(SC),MOJUKHERA 2,965,514,451,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420168.PDF
SIRSA,42-KALAWALI(SC),RORI,8112,4319,3793,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420056.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420057.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420058.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420059.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420060.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420061.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420062.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420063.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420064.PDF"
SIRSA,42-KALAWALI(SC),GRAM KALANWALI,4260,2287,1973,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420038.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420039.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420040.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420041.PDF"
SIRSA,42-KALAWALI(SC),DAULATPUR KHERA,722,380,342,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420080.PDF
SIRSA,42-KALAWALI(SC),NAREL KHERA,1604,836,768,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420169.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420170.PDF"
SIRSA,42-KALAWALI(SC),AHAMADPUR,1366,741,625,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420135.PDF
SIRSA,42-KALAWALI(SC),MALRI,1101,568,533,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420090.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420091.PDF"
SIRSA,42-KALAWALI(SC),SUKHCHAIN,2996,1564,1432,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420070.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420071.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420072.PDF"
SIRSA,42-KALAWALI(SC),MEERPUR,2169,1144,1025,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420136.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420137.PDF"
SIRSA,42-KALAWALI(SC),LAHENGEWALA,1326,699,627,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420093.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420094.PDF"
SIRSA,42-KALAWALI(SC),FARWAI KALAN,2307,1239,1068,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420124.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420125.PDF"
SIRSA,42-KALAWALI(SC),KHEIREKA,2216,1170,1046,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420133.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420134.PDF"
SIRSA,42-KALAWALI(SC),BARUWALI 1,1085,601,484,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420146.PDF
SIRSA,42-KALAWALI(SC),DESU KHURD,530,290,240,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420066.PDF
SIRSA,42-KALAWALI(SC),PATLI DABAR,3085,1659,1426,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420172.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420173.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420174.PDF"
SIRSA,42-KALAWALI(SC),DHABAN,778,421,357,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420111.PDF
SIRSA,42-KALAWALI(SC),JHORAR ROHI,1314,699,615,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420085.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420086.PDF"
SIRSA,42-KALAWALI(SC),SANGAR SARISTA,943,512,431,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420147.PDF
