District,Constituency,Polling Station,Total,Male,Female,PDF Link
KURUKSHETRA,11-LADWA,KANIPALA,1233,641,592,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110097.PDF
KURUKSHETRA,11-LADWA,KHERI DABDALAN,2055,1096,959,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110079.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110080.PDF"
KURUKSHETRA,11-LADWA,JIRBARI,964,511,453,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110179.PDF
KURUKSHETRA,11-LADWA,SURA,832,437,395,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110078.PDF
KURUKSHETRA,11-LADWA,FALSANDA JATAN,966,512,454,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110017.PDF
KURUKSHETRA,11-LADWA,MEHRA,2720,1423,1297,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110075.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110076.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110077.PDF"
KURUKSHETRA,11-LADWA,CHALAUNDI,1506,797,709,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110136.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110137.PDF"
KURUKSHETRA,11-LADWA,BIR KHAIRI,1552,789,763,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110148.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110149.PDF"
KURUKSHETRA,11-LADWA,MUNIYARPUR,686,373,313,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110188.PDF
KURUKSHETRA,11-LADWA,SUNARIYAN,952,486,466,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110019.PDF
KURUKSHETRA,11-LADWA,BAROT,1303,679,624,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110191.PDF
KURUKSHETRA,11-LADWA,PAHLADPUR,693,357,336,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110068.PDF
KURUKSHETRA,11-LADWA,BIR MATHANA,1657,850,807,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110156.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110157.PDF"
KURUKSHETRA,11-LADWA,BAHLOLPUR,826,442,384,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110069.PDF
KURUKSHETRA,11-LADWA,BODHI,619,332,287,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110183.PDF
KURUKSHETRA,11-LADWA,BIR BHARTAULI,1193,628,565,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110011.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110012.PDF"
KURUKSHETRA,11-LADWA,BAKHALI,1555,818,737,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110074.PDF"
KURUKSHETRA,11-LADWA,VILLAGE,1260,650,610,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110165.PDF
KURUKSHETRA,11-LADWA,MHUAKHERI,660,343,317,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110013.PDF
KURUKSHETRA,11-LADWA,SONTI,1395,732,663,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110146.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110147.PDF"
KURUKSHETRA,11-LADWA,KALWA,778,403,375,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110029.PDF
KURUKSHETRA,11-LADWA,MASANA,829,427,402,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110058.PDF
KURUKSHETRA,11-LADWA,RAMSARAN MAJRA,2255,1216,1039,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110045.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110046.PDF"
KURUKSHETRA,11-LADWA,LADWA,17898,9324,8574,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110112.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110113.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110114.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110115.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110116.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110117.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110118.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110119.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110120.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110121.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110122.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110123.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110124.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110125.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110126.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110127.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110128.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110129.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110130.PDF"
KURUKSHETRA,11-LADWA,DAULATPUR,796,410,386,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110186.PDF
KURUKSHETRA,11-LADWA,BARAICHPUR,1106,594,512,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110142.PDF
