District,Constituency,Polling Station,Total,Male,Female,PDF Link
PALWAL,82-HATHIN,ALUKA,370,195,175,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820034.PDF
PALWAL,82-HATHIN,BAHROULA,1468,797,671,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820046.PDF
PALWAL,82-HATHIN,ANDHOP,2580,1384,1196,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820179.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820180.PDF"
PALWAL,82-HATHIN,PUTHALI,1153,626,527,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820067.PDF
PALWAL,82-HATHIN,RUP NAGAR NATEILI,671,366,305,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820187.PDF
PALWAL,82-HATHIN,GAILPUR,1291,693,598,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820040.PDF
PALWAL,82-HATHIN,BAMNAULA JOGI,913,491,422,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820093.PDF
PALWAL,82-HATHIN,DHAMAKA,895,488,407,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820036.PDF
PALWAL,82-HATHIN,RAKHOTA,702,394,308,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820026.PDF
PALWAL,82-HATHIN,TOKA,735,382,353,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820152.PDF
PALWAL,82-HATHIN,PACHANKA,1616,894,722,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820129.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820130.PDF"
PALWAL,82-HATHIN,MALAI,3923,2116,1807,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820119.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820120.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820121.PDF"
PALWAL,82-HATHIN,DHRONT,2397,1276,1121,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820068.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820069.PDF"
PALWAL,82-HATHIN,GEHLAB,4164,2292,1872,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820095.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820096.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820097.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820098.PDF"
PALWAL,82-HATHIN,FULWARI,3085,1778,1307,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820054.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820055.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820056.PDF"
PALWAL,82-HATHIN,KHAIKA HATHIN,2790,1508,1282,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820188.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820189.PDF"
PALWAL,82-HATHIN,JALALPUR KHALSA,814,450,364,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820065.PDF
