District,Constituency,Polling Station,Total,Male,Female,PDF Link
MEWAT,79-NUH,MANUVAS,730,376,354,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790009.PDF
MEWAT,79-NUH,BABUPUR NUH,957,528,429,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790104.PDF
MEWAT,79-NUH,DHEKALI,1269,680,589,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790155.PDF
MEWAT,79-NUH,KIRANJ,1865,989,876,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790011.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790012.PDF"
MEWAT,79-NUH,GUNDWAS,655,331,324,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790105.PDF
MEWAT,79-NUH,BAINSI,2236,1194,1042,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790106.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790107.PDF"
MEWAT,79-NUH,AAKERA,4794,2615,2179,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790138.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790139.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790140.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790141.PDF"
MEWAT,79-NUH,JOGIPUR,634,345,289,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790091.PDF
MEWAT,79-NUH,SONKH,791,417,374,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790077.PDF
MEWAT,79-NUH,DEVALA NAGLI,3109,1628,1481,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790164.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790165.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790166.PDF"
MEWAT,79-NUH,SALAHEDI,2926,1567,1359,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790072.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790074.PDF"
MEWAT,79-NUH,CHANDENI,2351,1289,1062,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790050.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790051.PDF"
MEWAT,79-NUH,RANIKA,1885,1029,856,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790147.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790148.PDF"
MEWAT,79-NUH,BIRSIKA,1034,565,469,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790152.PDF
MEWAT,79-NUH,ULAITA,975,528,447,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790013.PDF
MEWAT,79-NUH,BADWAN,724,380,344,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790043.PDF
MEWAT,79-NUH,RAUKA,609,311,298,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790008.PDF
MEWAT,79-NUH,MEVLI,2733,1510,1223,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790134.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790135.PDF"
MEWAT,79-NUH,KAVARSIKA,1170,606,564,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790022.PDF
MEWAT,79-NUH,KHERLA,2751,1491,1260,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790092.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790093.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790094.PDF"
MEWAT,79-NUH,KHALILPUR,2473,1343,1130,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790015.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790016.PDF"
MEWAT,79-NUH,UJINA,5499,2916,2583,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790123.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790124.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790125.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790126.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790127.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790128.PDF"
MEWAT,79-NUH,KHEDLIKANKAR,871,448,423,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790033.PDF
MEWAT,79-NUH,KUTUBGARH,520,286,234,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790035.PDF
MEWAT,79-NUH,SATPUTYAKA,619,314,305,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790103.PDF
MEWAT,79-NUH,CHAPEDA,1618,858,760,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790039.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790040.PDF"
MEWAT,79-NUH,NUH,4017,2120,1897,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790081.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790082.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790083.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790084.PDF"
MEWAT,79-NUH,CHHAPRA,605,322,283,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790030.PDF
MEWAT,79-NUH,KALIJAR,671,355,316,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790156.PDF
MEWAT,79-NUH,INDARI,3801,2052,1749,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790017.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790018.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790019.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790020.PDF"
MEWAT,79-NUH,DOBALU,438,248,190,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790038.PDF
MEWAT,79-NUH,CHHACHHERA,698,368,330,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790059.PDF
MEWAT,79-NUH,BHUPAWALI,670,347,323,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790163.PDF
MEWAT,79-NUH,AATA,1431,756,675,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790002.PDF"
MEWAT,79-NUH,GHASEDA,7409,4001,3408,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790052.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790053.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790054.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790055.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790056.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790057.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790058.PDF"
MEWAT,79-NUH,PALLA,1176,632,544,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790078.PDF
MEWAT,79-NUH,KOTLA,1356,728,628,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790137.PDF
MEWAT,79-NUH,BHIRAVATI,976,520,456,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790006.PDF
MEWAT,79-NUH,KORALI SOHNA,922,499,423,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790029.PDF
MEWAT,79-NUH,BAI,1285,698,587,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790133.PDF
MEWAT,79-NUH,NIJAMPUR NOOHN,1108,600,508,http://ceoharyana.nic.in/docs/elec
